Date,High,Low,Open,Close,Volume,Adj Close
2010-01-04,16180.0,16000.0,16060.0,16180.0,11950800.0,13076.1181640625
2010-01-05,16580.0,16300.0,16520.0,16440.0,27925850.0,13286.2431640625
2010-01-06,16820.0,16520.0,16580.0,16820.0,22948850.0,13593.34765625
2010-01-07,16820.0,16260.0,16820.0,16260.0,22107950.0,13140.7734375
2010-01-08,16420.0,16120.0,16400.0,16420.0,14777550.0,13270.080078125
2010-01-11,16460.0,15940.0,16420.0,15940.0,19896100.0,12882.1591796875
2010-01-12,16180.0,15900.0,15940.0,16180.0,19218050.0,13076.1181640625
2010-01-13,16120.0,15940.0,16100.0,15940.0,13375300.0,12882.1591796875
2010-01-14,16620.0,16000.0,16120.0,16540.0,26551550.0,13367.05859375
2010-01-15,16860.0,16580.0,16640.0,16840.0,19905600.0,13609.509765625
2010-01-18,16920.0,16560.0,16800.0,16860.0,13060400.0,13625.6728515625
2010-01-19,17000.0,16440.0,17000.0,16460.0,12041250.0,13302.4052734375
2010-01-20,16740.0,16460.0,16460.0,16680.0,19200850.0,13480.2021484375
2010-01-21,17000.0,16400.0,16400.0,17000.0,16990100.0,13738.8154296875
2010-01-22,16900.0,16360.0,16800.0,16500.0,23460500.0,13334.7314453125
2010-01-25,16960.0,16300.0,16320.0,16840.0,20578400.0,13609.509765625
2010-01-26,16920.0,16240.0,16920.0,16300.0,18722300.0,13173.099609375
2010-01-27,16340.0,16000.0,16300.0,16000.0,18516150.0,12930.650390625
2010-01-28,16300.0,16060.0,16160.0,16160.0,13795800.0,13059.955078125
2010-01-29,16020.0,15600.0,16000.0,15680.0,22854100.0,12672.0361328125
2010-02-01,15700.0,15300.0,15680.0,15540.0,25037200.0,12558.8955078125
2010-02-02,15800.0,15400.0,15800.0,15440.0,19677150.0,12478.080078125
2010-02-03,15700.0,15360.0,15640.0,15540.0,16467700.0,12558.8955078125
2010-02-04,15660.0,15440.0,15500.0,15520.0,11971700.0,12542.7314453125
2010-02-05,15220.0,14940.0,15160.0,15000.0,25705750.0,12122.4873046875
2010-02-08,15080.0,14820.0,14940.0,14960.0,21891500.0,12090.16015625
2010-02-09,15220.0,14840.0,14960.0,15220.0,16834200.0,12300.28125
2010-02-10,15280.0,15040.0,15260.0,15100.0,13174200.0,12203.3017578125
2010-02-11,15300.0,15120.0,15140.0,15260.0,13208300.0,12332.607421875
2010-02-12,15340.0,14900.0,15340.0,15000.0,22879300.0,12122.4873046875
2010-02-16,15180.0,14960.0,15000.0,15120.0,7723550.0,12219.4619140625
2010-02-17,15580.0,15280.0,15440.0,15580.0,13997150.0,12591.220703125
2010-02-18,15620.0,15440.0,15580.0,15500.0,7251900.0,12526.56640625
2010-02-19,15540.0,15180.0,15380.0,15200.0,11094000.0,12284.1142578125
2010-02-22,15560.0,15400.0,15440.0,15460.0,11580550.0,12494.240234375
2010-02-23,15480.0,15120.0,15480.0,15340.0,12568850.0,12397.2587890625
2010-02-24,15220.0,15000.0,15180.0,15040.0,15052500.0,12154.80859375
2010-02-25,15160.0,14680.0,15080.0,14720.0,19273900.0,11896.1982421875
2010-02-26,14960.0,14660.0,14800.0,14880.0,15576350.0,12025.5068359375
2010-03-02,15480.0,15120.0,15220.0,15400.0,23494700.0,12445.751953125
2010-03-03,15460.0,15260.0,15420.0,15420.0,9713550.0,12461.9140625
2010-03-04,15440.0,15120.0,15420.0,15220.0,10205050.0,12300.28125
2010-03-05,15500.0,15260.0,15260.0,15500.0,11754700.0,12526.56640625
2010-03-08,15840.0,15700.0,15800.0,15720.0,19563300.0,12704.3681640625
2010-03-09,15740.0,15540.0,15740.0,15720.0,12211750.0,12704.3681640625
2010-03-10,15740.0,15560.0,15720.0,15680.0,11367600.0,12672.0361328125
2010-03-11,15880.0,15560.0,15800.0,15560.0,19631000.0,12575.0576171875
